Category: All categories

Month,Facebook investigation: (Worldwide)
2014-01,77
2014-02,87
2014-03,85
2014-04,77
2014-05,79
2014-06,77
2014-07,75
2014-08,80
2014-09,77
2014-10,81
2014-11,79
2014-12,59
2015-01,66
2015-02,72
2015-03,76
2015-04,66
2015-05,64
2015-06,58
2015-07,59
2015-08,70
2015-09,68
2015-10,70
2015-11,57
2015-12,55
2016-01,58
2016-02,74
2016-03,61
2016-04,60
2016-05,76
2016-06,67
2016-07,67
2016-08,46
2016-09,60
2016-10,68
2016-11,65
2016-12,58
2017-01,56
2017-02,56
2017-03,65
2017-04,53
2017-05,55
2017-06,54
2017-07,51
2017-08,53
2017-09,79
2017-10,75
2017-11,65
2017-12,61
2018-01,57
2018-02,62
2018-03,90
2018-04,77
2018-05,64
2018-06,100
2018-07,58
2018-08,50
2018-09,59
2018-10,61
2018-11,61
2018-12,47
2019-01,53
2019-02,56
2019-03,80
2019-04,44
2019-05,38
2019-06,47
2019-07,45
2019-08,39
2019-09,48
2019-10,47
2019-11,44
2019-12,42
2020-01,40
2020-02,43
2020-03,34
2020-04,36
2020-05,42
2020-06,43
2020-07,47
2020-08,45
2020-09,48
2020-10,39
2020-11,32
2020-12,41
2021-01,40
2021-02,36
2021-03,35
2021-04,33
2021-05,33
2021-06,31
2021-07,27
2021-08,25
2021-09,33
2021-10,47
2021-11,25
2021-12,25
2022-01,31
