Category: All categories

Month,Facebook account delete: (Worldwide)
2014-01,79
2014-02,70
2014-03,70
2014-04,80
2014-05,79
2014-06,75
2014-07,77
2014-08,82
2014-09,75
2014-10,72
2014-11,71
2014-12,73
2015-01,78
2015-02,73
2015-03,73
2015-04,73
2015-05,73
2015-06,72
2015-07,80
2015-08,87
2015-09,73
2015-10,67
2015-11,67
2015-12,69
2016-01,63
2016-02,69
2016-03,60
2016-04,58
2016-05,63
2016-06,71
2016-07,82
2016-08,67
2016-09,70
2016-10,75
2016-11,80
2016-12,77
2017-01,79
2017-02,73
2017-03,83
2017-04,93
2017-05,79
2017-06,72
2017-07,85
2017-08,83
2017-09,90
2017-10,81
2017-11,72
2017-12,80
2018-01,86
2018-02,83
2018-03,100
2018-04,95
2018-05,89
2018-06,78
2018-07,64
2018-08,61
2018-09,77
2018-10,76
2018-11,58
2018-12,64
2019-01,66
2019-02,59
2019-03,65
2019-04,62
2019-05,64
2019-06,71
2019-07,71
2019-08,66
2019-09,61
2019-10,57
2019-11,61
2019-12,62
2020-01,60
2020-02,56
2020-03,60
2020-04,79
2020-05,81
2020-06,79
2020-07,86
2020-08,74
2020-09,77
2020-10,69
2020-11,69
2020-12,73
2021-01,97
2021-02,78
2021-03,69
2021-04,65
2021-05,72
2021-06,71
2021-07,72
2021-08,66
2021-09,61
2021-10,62
2021-11,60
2021-12,59
2022-01,64
