Category: All categories

Month,deactivate Facebook: (Worldwide)
2014-01,57
2014-02,52
2014-03,50
2014-04,49
2014-05,47
2014-06,48
2014-07,50
2014-08,52
2014-09,47
2014-10,46
2014-11,44
2014-12,48
2015-01,46
2015-02,44
2015-03,44
2015-04,43
2015-05,53
2015-06,51
2015-07,49
2015-08,50
2015-09,45
2015-10,43
2015-11,45
2015-12,43
2016-01,43
2016-02,39
2016-03,39
2016-04,42
2016-05,44
2016-06,46
2016-07,49
2016-08,44
2016-09,44
2016-10,44
2016-11,48
2016-12,47
2017-01,55
2017-02,47
2017-03,43
2017-04,50
2017-05,58
2017-06,53
2017-07,61
2017-08,57
2017-09,53
2017-10,51
2017-11,49
2017-12,49
2018-01,50
2018-02,51
2018-03,56
2018-04,61
2018-05,63
2018-06,100
2018-07,91
2018-08,57
2018-09,67
2018-10,63
2018-11,58
2018-12,61
2019-01,65
2019-02,62
2019-03,60
2019-04,56
2019-05,60
2019-06,60
2019-07,59
2019-08,64
2019-09,58
2019-10,60
2019-11,60
2019-12,64
2020-01,63
2020-02,57
2020-03,57
2020-04,65
2020-05,66
2020-06,83
2020-07,72
2020-08,64
2020-09,69
2020-10,61
2020-11,63
2020-12,60
2021-01,75
2021-02,59
2021-03,59
2021-04,57
2021-05,56
2021-06,60
2021-07,60
2021-08,59
2021-09,54
2021-10,55
2021-11,50
2021-12,51
2022-01,56
