Category: All categories

Month,Cambridge Analytica scandal: (Worldwide)
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,0
2016-04,0
2016-05,0
2016-06,0
2016-07,0
2016-08,0
2016-09,0
2016-10,0
2016-11,0
2016-12,0
2017-01,0
2017-02,0
2017-03,0
2017-04,0
2017-05,0
2017-06,0
2017-07,0
2017-08,0
2017-09,0
2017-10,0
2017-11,0
2017-12,0
2018-01,0
2018-02,0
2018-03,67
2018-04,100
2018-05,18
2018-06,7
2018-07,8
2018-08,3
2018-09,6
2018-10,7
2018-11,6
2018-12,4
2019-01,4
2019-02,5
2019-03,5
2019-04,6
2019-05,5
2019-06,3
2019-07,6
2019-08,6
2019-09,7
2019-10,7
2019-11,8
2019-12,5
2020-01,5
2020-02,4
2020-03,6
2020-04,6
2020-05,4
2020-06,4
2020-07,4
2020-08,4
2020-09,7
2020-10,7
2020-11,7
2020-12,4
2021-01,7
2021-02,6
2021-03,6
2021-04,5
2021-05,4
2021-06,4
2021-07,3
2021-08,3
2021-09,6
2021-10,8
2021-11,7
2021-12,5
2022-01,7
