Category: All categories

Month,Facebook data privacy: (Worldwide)
2014-01,12
2014-02,14
2014-03,14
2014-04,12
2014-05,10
2014-06,7
2014-07,7
2014-08,12
2014-09,11
2014-10,15
2014-11,12
2014-12,13
2015-01,7
2015-02,10
2015-03,11
2015-04,8
2015-05,10
2015-06,6
2015-07,7
2015-08,5
2015-09,10
2015-10,14
2015-11,8
2015-12,11
2016-01,7
2016-02,13
2016-03,12
2016-04,9
2016-05,11
2016-06,9
2016-07,6
2016-08,12
2016-09,15
2016-10,15
2016-11,12
2016-12,11
2017-01,9
2017-02,14
2017-03,14
2017-04,10
2017-05,11
2017-06,13
2017-07,9
2017-08,10
2017-09,9
2017-10,14
2017-11,13
2017-12,11
2018-01,11
2018-02,15
2018-03,64
2018-04,100
2018-05,45
2018-06,24
2018-07,22
2018-08,21
2018-09,23
2018-10,26
2018-11,24
2018-12,24
2019-01,25
2019-02,27
2019-03,30
2019-04,28
2019-05,21
2019-06,21
2019-07,24
2019-08,23
2019-09,29
2019-10,26
2019-11,27
2019-12,19
2020-01,23
2020-02,26
2020-03,24
2020-04,24
2020-05,22
2020-06,20
2020-07,19
2020-08,15
2020-09,26
2020-10,27
2020-11,20
2020-12,19
2021-01,38
2021-02,23
2021-03,25
2021-04,27
2021-05,21
2021-06,15
2021-07,15
2021-08,11
2021-09,17
2021-10,27
2021-11,25
2021-12,19
2022-01,24
