Category: All categories

Month,Facebook API privacy: (Worldwide)
2014-01,0
2014-02,83
2014-03,0
2014-04,44
2014-05,44
2014-06,0
2014-07,0
2014-08,57
2014-09,76
2014-10,59
2014-11,0
2014-12,43
2015-01,57
2015-02,0
2015-03,0
2015-04,0
2015-05,53
2015-06,45
2015-07,54
2015-08,0
2015-09,48
2015-10,0
2015-11,0
2015-12,0
2016-01,64
2016-02,0
2016-03,0
2016-04,0
2016-05,48
2016-06,0
2016-07,0
2016-08,0
2016-09,0
2016-10,0
2016-11,45
2016-12,0
2017-01,48
2017-02,39
2017-03,0
2017-04,38
2017-05,0
2017-06,0
2017-07,0
2017-08,0
2017-09,57
2017-10,44
2017-11,0
2017-12,0
2018-01,0
2018-02,39
2018-03,69
2018-04,92
2018-05,79
2018-06,60
2018-07,34
2018-08,41
2018-09,0
2018-10,0
2018-11,0
2018-12,46
2019-01,0
2019-02,0
2019-03,0
2019-04,34
2019-05,34
2019-06,0
2019-07,0
2019-08,0
2019-09,39
2019-10,0
2019-11,0
2019-12,0
2020-01,0
2020-02,36
2020-03,0
2020-04,0
2020-05,0
2020-06,0
2020-07,0
2020-08,0
2020-09,35
2020-10,31
2020-11,69
2020-12,87
2021-01,63
2021-02,36
2021-03,46
2021-04,76
2021-05,76
2021-06,63
2021-07,86
2021-08,56
2021-09,71
2021-10,100
2021-11,33
2021-12,49
2022-01,52
