Category: All categories

Day,Facebook privacy settings: (Worldwide)
2018-02-16,26
2018-02-17,19
2018-02-18,21
2018-02-19,21
2018-02-20,25
2018-02-21,0
2018-02-22,17
2018-02-23,21
2018-02-24,0
2018-02-25,21
2018-02-26,23
2018-02-27,17
2018-02-28,16
2018-03-01,18
2018-03-02,20
2018-03-03,18
2018-03-04,20
2018-03-05,21
2018-03-06,19
2018-03-07,19
2018-03-08,0
2018-03-09,15
2018-03-10,20
2018-03-11,25
2018-03-12,20
2018-03-13,15
2018-03-14,0
2018-03-15,15
2018-03-16,0
2018-03-17,16
2018-03-18,0
2018-03-19,37
2018-03-20,38
2018-03-21,89
2018-03-22,59
2018-03-23,38
2018-03-24,38
2018-03-25,32
2018-03-26,69
2018-03-27,61
2018-03-28,100
2018-03-29,71
2018-03-30,37
2018-03-31,37
2018-04-01,28
2018-04-02,35
2018-04-03,40
2018-04-04,35
2018-04-05,37
2018-04-06,23
2018-04-07,38
2018-04-08,28
2018-04-09,40
2018-04-10,46
2018-04-11,48
2018-04-12,41
2018-04-13,38
2018-04-14,31
2018-04-15,26
2018-04-16,35
2018-04-17,30
2018-04-18,24
2018-04-19,20
2018-04-20,15
2018-04-21,19
2018-04-22,30
2018-04-23,21
2018-04-24,26
2018-04-25,15
2018-04-26,0
2018-04-27,22
2018-04-28,0
2018-04-29,15
2018-04-30,16
2018-05-01,26
2018-05-02,20
2018-05-03,0
2018-05-04,0
2018-05-05,20
2018-05-06,18
2018-05-07,18
2018-05-08,0
2018-05-09,0
2018-05-10,25
2018-05-11,22
2018-05-12,17
2018-05-13,26
2018-05-14,24
2018-05-15,14
2018-05-16,20
2018-05-17,0
2018-05-18,16
2018-05-19,23
2018-05-20,18
2018-05-21,18
2018-05-22,22
2018-05-23,0
2018-05-24,0
2018-05-25,28
