Category: All categories

Day,deactivate Facebook: (Worldwide)
2018-02-16,68
2018-02-17,68
2018-02-18,83
2018-02-19,75
2018-02-20,64
2018-02-21,63
2018-02-22,57
2018-02-23,54
2018-02-24,69
2018-02-25,67
2018-02-26,63
2018-02-27,57
2018-02-28,63
2018-03-01,52
2018-03-02,54
2018-03-03,65
2018-03-04,72
2018-03-05,64
2018-03-06,58
2018-03-07,54
2018-03-08,59
2018-03-09,60
2018-03-10,64
2018-03-11,71
2018-03-12,66
2018-03-13,54
2018-03-14,52
2018-03-15,53
2018-03-16,63
2018-03-17,68
2018-03-18,68
2018-03-19,64
2018-03-20,83
2018-03-21,89
2018-03-22,83
2018-03-23,77
2018-03-24,92
2018-03-25,91
2018-03-26,83
2018-03-27,91
2018-03-28,84
2018-03-29,80
2018-03-30,84
2018-03-31,79
2018-04-01,85
2018-04-02,83
2018-04-03,62
2018-04-04,71
2018-04-05,71
2018-04-06,71
2018-04-07,84
2018-04-08,83
2018-04-09,75
2018-04-10,85
2018-04-11,78
2018-04-12,72
2018-04-13,77
2018-04-14,77
2018-04-15,76
2018-04-16,75
2018-04-17,69
2018-04-18,65
2018-04-19,69
2018-04-20,73
2018-04-21,100
2018-04-22,100
2018-04-23,82
2018-04-24,87
2018-04-25,80
2018-04-26,77
2018-04-27,73
2018-04-28,90
2018-04-29,94
2018-04-30,73
2018-05-01,85
2018-05-02,68
2018-05-03,69
2018-05-04,77
2018-05-05,80
2018-05-06,91
2018-05-07,80
2018-05-08,74
2018-05-09,76
2018-05-10,76
2018-05-11,78
2018-05-12,79
2018-05-13,84
2018-05-14,82
2018-05-15,78
2018-05-16,73
2018-05-17,70
2018-05-18,73
2018-05-19,79
2018-05-20,99
2018-05-21,81
2018-05-22,82
2018-05-23,75
2018-05-24,80
2018-05-25,86
