Category: All categories

Day,Facebook investigation: (Worldwide)
2018-02-16,39
2018-02-17,0
2018-02-18,26
2018-02-19,23
2018-02-20,37
2018-02-21,0
2018-02-22,40
2018-02-23,41
2018-02-24,0
2018-02-25,0
2018-02-26,0
2018-02-27,0
2018-02-28,0
2018-03-01,0
2018-03-02,54
2018-03-03,0
2018-03-04,37
2018-03-05,27
2018-03-06,36
2018-03-07,26
2018-03-08,26
2018-03-09,0
2018-03-10,0
2018-03-11,0
2018-03-12,0
2018-03-13,50
2018-03-14,0
2018-03-15,0
2018-03-16,0
2018-03-17,28
2018-03-18,34
2018-03-19,61
2018-03-20,90
2018-03-21,92
2018-03-22,69
2018-03-23,43
2018-03-24,34
2018-03-25,27
2018-03-26,100
2018-03-27,98
2018-03-28,63
2018-03-29,36
2018-03-30,30
2018-03-31,0
2018-04-01,0
2018-04-02,0
2018-04-03,36
2018-04-04,24
2018-04-05,26
2018-04-06,51
2018-04-07,0
2018-04-08,27
2018-04-09,25
2018-04-10,69
2018-04-11,90
2018-04-12,55
2018-04-13,48
2018-04-14,30
2018-04-15,39
2018-04-16,0
2018-04-17,43
2018-04-18,31
2018-04-19,0
2018-04-20,0
2018-04-21,0
2018-04-22,40
2018-04-23,27
2018-04-24,40
2018-04-25,30
2018-04-26,30
2018-04-27,27
2018-04-28,0
2018-04-29,28
2018-04-30,34
2018-05-01,34
2018-05-02,35
2018-05-03,35
2018-05-04,0
2018-05-05,0
2018-05-06,0
2018-05-07,0
2018-05-08,26
2018-05-09,0
2018-05-10,31
2018-05-11,39
2018-05-12,0
2018-05-13,0
2018-05-14,32
2018-05-15,30
2018-05-16,33
2018-05-17,36
2018-05-18,26
2018-05-19,0
2018-05-20,35
2018-05-21,29
2018-05-22,0
2018-05-23,39
2018-05-24,31
2018-05-25,0
