Category: All categories

Day,Mark Zuckerberg: (Worldwide)
2018-02-16,2
2018-02-17,2
2018-02-18,2
2018-02-19,1
2018-02-20,2
2018-02-21,2
2018-02-22,2
2018-02-23,2
2018-02-24,2
2018-02-25,2
2018-02-26,2
2018-02-27,2
2018-02-28,2
2018-03-01,2
2018-03-02,2
2018-03-03,2
2018-03-04,2
2018-03-05,1
2018-03-06,2
2018-03-07,2
2018-03-08,2
2018-03-09,1
2018-03-10,1
2018-03-11,2
2018-03-12,2
2018-03-13,2
2018-03-14,2
2018-03-15,2
2018-03-16,2
2018-03-17,1
2018-03-18,2
2018-03-19,3
2018-03-20,7
2018-03-21,10
2018-03-22,18
2018-03-23,8
2018-03-24,7
2018-03-25,5
2018-03-26,5
2018-03-27,6
2018-03-28,6
2018-03-29,4
2018-03-30,3
2018-03-31,3
2018-04-01,5
2018-04-02,4
2018-04-03,3
2018-04-04,4
2018-04-05,6
2018-04-06,4
2018-04-07,4
2018-04-08,4
2018-04-09,7
2018-04-10,46
2018-04-11,100
2018-04-12,68
2018-04-13,52
2018-04-14,35
2018-04-15,23
2018-04-16,17
2018-04-17,11
2018-04-18,9
2018-04-19,7
2018-04-20,6
2018-04-21,5
2018-04-22,5
2018-04-23,4
2018-04-24,4
2018-04-25,4
2018-04-26,4
2018-04-27,4
2018-04-28,3
2018-04-29,4
2018-04-30,3
2018-05-01,4
2018-05-02,4
2018-05-03,3
2018-05-04,3
2018-05-05,3
2018-05-06,3
2018-05-07,2
2018-05-08,2
2018-05-09,2
2018-05-10,2
2018-05-11,2
2018-05-12,2
2018-05-13,2
2018-05-14,3
2018-05-15,2
2018-05-16,3
2018-05-17,2
2018-05-18,2
2018-05-19,2
2018-05-20,2
2018-05-21,2
2018-05-22,4
2018-05-23,4
2018-05-24,3
2018-05-25,2
