Category: All categories

Day,Cambridge Analytica: (Worldwide)
2018-02-16,<1
2018-02-17,<1
2018-02-18,<1
2018-02-19,<1
2018-02-20,<1
2018-02-21,<1
2018-02-22,<1
2018-02-23,<1
2018-02-24,0
2018-02-25,<1
2018-02-26,<1
2018-02-27,1
2018-02-28,<1
2018-03-01,<1
2018-03-02,<1
2018-03-03,<1
2018-03-04,0
2018-03-05,<1
2018-03-06,<1
2018-03-07,0
2018-03-08,<1
2018-03-09,<1
2018-03-10,<1
2018-03-11,0
2018-03-12,<1
2018-03-13,<1
2018-03-14,<1
2018-03-15,<1
2018-03-16,<1
2018-03-17,10
2018-03-18,18
2018-03-19,44
2018-03-20,100
2018-03-21,90
2018-03-22,71
2018-03-23,34
2018-03-24,34
2018-03-25,23
2018-03-26,22
2018-03-27,25
2018-03-28,21
2018-03-29,16
2018-03-30,10
2018-03-31,7
2018-04-01,6
2018-04-02,6
2018-04-03,6
2018-04-04,9
2018-04-05,15
2018-04-06,10
2018-04-07,6
2018-04-08,6
2018-04-09,14
2018-04-10,40
2018-04-11,59
2018-04-12,31
2018-04-13,22
2018-04-14,13
2018-04-15,9
2018-04-16,9
2018-04-17,9
2018-04-18,7
2018-04-19,6
2018-04-20,5
2018-04-21,3
2018-04-22,3
2018-04-23,4
2018-04-24,4
2018-04-25,4
2018-04-26,4
2018-04-27,3
2018-04-28,2
2018-04-29,2
2018-04-30,3
2018-05-01,3
2018-05-02,12
2018-05-03,15
2018-05-04,5
2018-05-05,3
2018-05-06,3
2018-05-07,3
2018-05-08,3
2018-05-09,2
2018-05-10,2
2018-05-11,2
2018-05-12,1
2018-05-13,1
2018-05-14,2
2018-05-15,2
2018-05-16,4
2018-05-17,3
2018-05-18,3
2018-05-19,2
2018-05-20,1
2018-05-21,2
2018-05-22,3
2018-05-23,2
2018-05-24,2
2018-05-25,2
2018-05-26,1
2018-05-27,1
2018-05-28,1
2018-05-29,2
2018-05-30,2
2018-05-31,1
2018-06-01,1
2018-06-02,1
2018-06-03,1
2018-06-04,1
2018-06-05,1
2018-06-06,2
2018-06-07,2
2018-06-08,2
2018-06-09,1
2018-06-10,1
2018-06-11,1
2018-06-12,1
2018-06-13,1
2018-06-14,1
2018-06-15,1
2018-06-16,1
2018-06-17,1
2018-06-18,1
2018-06-19,1
2018-06-20,1
2018-06-21,1
2018-06-22,1
2018-06-23,1
2018-06-24,1
2018-06-25,1
2018-06-26,1
2018-06-27,1
2018-06-28,1
2018-06-29,1
2018-06-30,1
2018-07-01,1
2018-07-02,1
2018-07-03,1
2018-07-04,1
2018-07-05,1
2018-07-06,1
2018-07-07,<1
2018-07-08,1
2018-07-09,1
2018-07-10,1
2018-07-11,2
2018-07-12,1
2018-07-13,1
2018-07-14,1
2018-07-15,1
2018-07-16,1
2018-07-17,1
2018-07-18,1
2018-07-19,1
2018-07-20,1
2018-07-21,<1
2018-07-22,1
2018-07-23,1
2018-07-24,1
2018-07-25,1
2018-07-26,2
2018-07-27,2
2018-07-28,1
2018-07-29,1
2018-07-30,1
2018-07-31,1
2018-08-01,1
2018-08-02,1
2018-08-03,1
2018-08-04,<1
2018-08-05,<1
2018-08-06,1
2018-08-07,1
2018-08-08,<1
2018-08-09,<1
2018-08-10,<1
2018-08-11,1
2018-08-12,<1
2018-08-13,<1
2018-08-14,<1
2018-08-15,<1
2018-08-16,1
2018-08-17,1
2018-08-18,<1
2018-08-19,<1
2018-08-20,<1
2018-08-21,1
2018-08-22,1
2018-08-23,1
2018-08-24,1
2018-08-25,<1
2018-08-26,1
2018-08-27,1
2018-08-28,1
2018-08-29,1
2018-08-30,1
2018-08-31,1
2018-09-01,1
2018-09-02,1
2018-09-03,1
2018-09-04,1
2018-09-05,1
2018-09-06,1
2018-09-07,1
2018-09-08,1
2018-09-09,<1
2018-09-10,1
2018-09-11,1
2018-09-12,1
2018-09-13,1
2018-09-14,1
2018-09-15,1
2018-09-16,<1
2018-09-17,1
2018-09-18,1
2018-09-19,1
2018-09-20,1
2018-09-21,1
2018-09-22,<1
2018-09-23,<1
2018-09-24,1
2018-09-25,1
2018-09-26,1
2018-09-27,1
2018-09-28,1
2018-09-29,1
2018-09-30,1
2018-10-01,1
2018-10-02,1
2018-10-03,1
2018-10-04,1
2018-10-05,1
2018-10-06,1
2018-10-07,<1
2018-10-08,1
2018-10-09,2
2018-10-10,2
2018-10-11,1
2018-10-12,1
