Category: All categories

Day,Cambridge analytica scandal: (Worldwide)
2018-02-16,3
2018-02-17,0
2018-02-18,0
2018-02-19,0
2018-02-20,0
2018-02-21,0
2018-02-22,0
2018-02-23,0
2018-02-24,0
2018-02-25,0
2018-02-26,0
2018-02-27,0
2018-02-28,0
2018-03-01,0
2018-03-02,0
2018-03-03,0
2018-03-04,0
2018-03-05,0
2018-03-06,0
2018-03-07,0
2018-03-08,0
2018-03-09,0
2018-03-10,0
2018-03-11,0
2018-03-12,0
2018-03-13,0
2018-03-14,0
2018-03-15,0
2018-03-16,0
2018-03-17,0
2018-03-18,0
2018-03-19,7
2018-03-20,12
2018-03-21,44
2018-03-22,60
2018-03-23,58
2018-03-24,32
2018-03-25,16
2018-03-26,25
2018-03-27,24
2018-03-28,22
2018-03-29,20
2018-03-30,7
2018-03-31,7
2018-04-01,6
2018-04-02,8
2018-04-03,9
2018-04-04,8
2018-04-05,11
2018-04-06,11
2018-04-07,6
2018-04-08,4
2018-04-09,13
2018-04-10,58
2018-04-11,100
2018-04-12,72
2018-04-13,45
2018-04-14,25
2018-04-15,17
2018-04-16,12
2018-04-17,9
2018-04-18,7
2018-04-19,5
2018-04-20,3
2018-04-21,0
2018-04-22,4
2018-04-23,4
2018-04-24,4
2018-04-25,4
2018-04-26,5
2018-04-27,3
2018-04-28,0
2018-04-29,0
2018-04-30,0
2018-05-01,6
2018-05-02,4
2018-05-03,7
2018-05-04,4
2018-05-05,4
2018-05-06,4
2018-05-07,3
2018-05-08,4
2018-05-09,4
2018-05-10,4
2018-05-11,0
2018-05-12,0
2018-05-13,0
2018-05-14,3
2018-05-15,3
2018-05-16,4
2018-05-17,0
2018-05-18,4
2018-05-19,0
2018-05-20,0
2018-05-21,3
2018-05-22,4
2018-05-23,3
2018-05-24,3
2018-05-25,0
