Category: All categories

Day,Facebook Cambridge Analytica: (Worldwide)
2018-02-16,0
2018-02-17,0
2018-02-18,0
2018-02-19,0
2018-02-20,0
2018-02-21,0
2018-02-22,0
2018-02-23,0
2018-02-24,0
2018-02-25,0
2018-02-26,0
2018-02-27,0
2018-02-28,0
2018-03-01,0
2018-03-02,0
2018-03-03,0
2018-03-04,0
2018-03-05,0
2018-03-06,0
2018-03-07,0
2018-03-08,0
2018-03-09,0
2018-03-10,0
2018-03-11,0
2018-03-12,0
2018-03-13,0
2018-03-14,0
2018-03-15,0
2018-03-16,0
2018-03-17,11
2018-03-18,14
2018-03-19,41
2018-03-20,84
2018-03-21,98
2018-03-22,96
2018-03-23,51
2018-03-24,45
2018-03-25,34
2018-03-26,40
2018-03-27,38
2018-03-28,36
2018-03-29,29
2018-03-30,17
2018-03-31,12
2018-04-01,11
2018-04-02,13
2018-04-03,15
2018-04-04,17
2018-04-05,27
2018-04-06,21
2018-04-07,11
2018-04-08,13
2018-04-09,37
2018-04-10,85
2018-04-11,100
2018-04-12,56
2018-04-13,41
2018-04-14,29
2018-04-15,18
2018-04-16,17
2018-04-17,19
2018-04-18,17
2018-04-19,14
2018-04-20,14
2018-04-21,6
2018-04-22,8
2018-04-23,10
2018-04-24,7
2018-04-25,9
2018-04-26,8
2018-04-27,5
2018-04-28,4
2018-04-29,4
2018-04-30,5
2018-05-01,6
2018-05-02,10
2018-05-03,11
2018-05-04,6
2018-05-05,3
2018-05-06,6
2018-05-07,8
2018-05-08,6
2018-05-09,4
2018-05-10,4
2018-05-11,3
2018-05-12,2
2018-05-13,4
2018-05-14,5
2018-05-15,5
2018-05-16,6
2018-05-17,5
2018-05-18,4
2018-05-19,2
2018-05-20,3
2018-05-21,4
2018-05-22,5
2018-05-23,4
2018-05-24,4
2018-05-25,3
2018-05-26,3
2018-05-27,2
2018-05-28,3
2018-05-29,3
2018-05-30,3
2018-05-31,4
2018-06-01,3
2018-06-02,0
2018-06-03,0
2018-06-04,3
2018-06-05,3
2018-06-06,2
2018-06-07,2
2018-06-08,2
2018-06-09,2
2018-06-10,3
2018-06-11,2
2018-06-12,3
2018-06-13,2
2018-06-14,2
2018-06-15,3
2018-06-16,2
2018-06-17,2
2018-06-18,3
2018-06-19,2
2018-06-20,3
2018-06-21,2
2018-06-22,0
2018-06-23,0
2018-06-24,0
2018-06-25,2
2018-06-26,1
2018-06-27,1
2018-06-28,1
2018-06-29,3
2018-06-30,0
2018-07-01,1
2018-07-02,2
2018-07-03,2
2018-07-04,2
2018-07-05,0
2018-07-06,0
2018-07-07,0
2018-07-08,0
2018-07-09,1
2018-07-10,1
2018-07-11,3
2018-07-12,2
2018-07-13,1
2018-07-14,2
2018-07-15,0
2018-07-16,2
2018-07-17,2
2018-07-18,2
2018-07-19,0
2018-07-20,2
2018-07-21,0
2018-07-22,0
2018-07-23,2
2018-07-24,3
2018-07-25,2
2018-07-26,4
2018-07-27,5
2018-07-28,2
2018-07-29,2
2018-07-30,2
2018-07-31,2
2018-08-01,2
2018-08-02,0
2018-08-03,2
2018-08-04,0
2018-08-05,0
2018-08-06,2
2018-08-07,2
2018-08-08,0
2018-08-09,0
2018-08-10,0
2018-08-11,0
2018-08-12,0
2018-08-13,0
2018-08-14,0
2018-08-15,1
2018-08-16,1
2018-08-17,1
2018-08-18,0
2018-08-19,0
2018-08-20,0
2018-08-21,1
2018-08-22,0
2018-08-23,0
2018-08-24,6
2018-08-25,0
2018-08-26,0
2018-08-27,1
2018-08-28,2
2018-08-29,1
2018-08-30,1
2018-08-31,0
2018-09-01,0
2018-09-02,0
2018-09-03,1
2018-09-04,0
2018-09-05,2
2018-09-06,2
2018-09-07,1
2018-09-08,0
2018-09-09,0
2018-09-10,2
2018-09-11,1
2018-09-12,2
2018-09-13,2
2018-09-14,1
2018-09-15,0
2018-09-16,0
2018-09-17,1
2018-09-18,2
2018-09-19,2
2018-09-20,2
2018-09-21,1
2018-09-22,0
2018-09-23,0
2018-09-24,2
2018-09-25,1
2018-09-26,1
2018-09-27,2
2018-09-28,2
2018-09-29,2
2018-09-30,0
2018-10-01,1
2018-10-02,2
2018-10-03,2
2018-10-04,2
2018-10-05,2
2018-10-06,0
2018-10-07,0
2018-10-08,2
2018-10-09,3
2018-10-10,3
2018-10-11,2
2018-10-12,0
