Category: All categories

Day,Facebook data leak: (Worldwide)
2018-02-16,0
2018-02-17,0
2018-02-18,0
2018-02-19,0
2018-02-20,0
2018-02-21,0
2018-02-22,0
2018-02-23,0
2018-02-24,0
2018-02-25,0
2018-02-26,0
2018-02-27,0
2018-02-28,0
2018-03-01,0
2018-03-02,0
2018-03-03,0
2018-03-04,0
2018-03-05,0
2018-03-06,0
2018-03-07,0
2018-03-08,0
2018-03-09,0
2018-03-10,0
2018-03-11,0
2018-03-12,0
2018-03-13,0
2018-03-14,0
2018-03-15,0
2018-03-16,0
2018-03-17,0
2018-03-18,11
2018-03-19,16
2018-03-20,57
2018-03-21,60
2018-03-22,100
2018-03-23,63
2018-03-24,62
2018-03-25,42
2018-03-26,55
2018-03-27,37
2018-03-28,35
2018-03-29,37
2018-03-30,18
2018-03-31,12
2018-04-01,0
2018-04-02,17
2018-04-03,12
2018-04-04,10
2018-04-05,38
2018-04-06,28
2018-04-07,13
2018-04-08,11
2018-04-09,26
2018-04-10,36
2018-04-11,71
2018-04-12,64
2018-04-13,40
2018-04-14,34
2018-04-15,28
2018-04-16,11
2018-04-17,17
2018-04-18,12
2018-04-19,0
2018-04-20,0
2018-04-21,0
2018-04-22,0
2018-04-23,9
2018-04-24,0
2018-04-25,0
2018-04-26,0
2018-04-27,0
2018-04-28,0
2018-04-29,0
2018-04-30,0
2018-05-01,0
2018-05-02,0
2018-05-03,0
2018-05-04,0
2018-05-05,0
2018-05-06,0
2018-05-07,0
2018-05-08,0
2018-05-09,0
2018-05-10,0
2018-05-11,0
2018-05-12,0
2018-05-13,0
2018-05-14,0
2018-05-15,0
2018-05-16,0
2018-05-17,0
2018-05-18,0
2018-05-19,0
2018-05-20,13
2018-05-21,0
2018-05-22,0
2018-05-23,0
2018-05-24,0
2018-05-25,0
