Category: All categories

Day,Facebook data privacy: (Worldwide)
2018-02-16,0
2018-02-17,0
2018-02-18,0
2018-02-19,0
2018-02-20,0
2018-02-21,0
2018-02-22,0
2018-02-23,0
2018-02-24,0
2018-02-25,0
2018-02-26,0
2018-02-27,0
2018-02-28,0
2018-03-01,24
2018-03-02,26
2018-03-03,0
2018-03-04,0
2018-03-05,0
2018-03-06,0
2018-03-07,0
2018-03-08,0
2018-03-09,0
2018-03-10,0
2018-03-11,0
2018-03-12,0
2018-03-13,0
2018-03-14,0
2018-03-15,0
2018-03-16,0
2018-03-17,0
2018-03-18,0
2018-03-19,0
2018-03-20,24
2018-03-21,37
2018-03-22,53
2018-03-23,35
2018-03-24,0
2018-03-25,26
2018-03-26,61
2018-03-27,84
2018-03-28,57
2018-03-29,51
2018-03-30,35
2018-03-31,33
2018-04-01,0
2018-04-02,26
2018-04-03,24
2018-04-04,38
2018-04-05,45
2018-04-06,25
2018-04-07,0
2018-04-08,0
2018-04-09,27
2018-04-10,64
2018-04-11,80
2018-04-12,100
2018-04-13,45
2018-04-14,35
2018-04-15,43
2018-04-16,45
2018-04-17,31
2018-04-18,36
2018-04-19,49
2018-04-20,0
2018-04-21,0
2018-04-22,34
2018-04-23,36
2018-04-24,43
2018-04-25,36
2018-04-26,25
2018-04-27,24
2018-04-28,0
2018-04-29,0
2018-04-30,0
2018-05-01,0
2018-05-02,0
2018-05-03,29
2018-05-04,40
2018-05-05,0
2018-05-06,0
2018-05-07,23
2018-05-08,0
2018-05-09,0
2018-05-10,24
2018-05-11,0
2018-05-12,0
2018-05-13,0
2018-05-14,0
2018-05-15,0
2018-05-16,0
2018-05-17,0
2018-05-18,0
2018-05-19,0
2018-05-20,0
2018-05-21,32
2018-05-22,30
2018-05-23,0
2018-05-24,35
2018-05-25,35
