Category: All categories

Month,Facebook GDPR: (Worldwide)
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,0
2016-04,0
2016-05,0
2016-06,0
2016-07,0
2016-08,0
2016-09,0
2016-10,0
2016-11,0
2016-12,0
2017-01,0
2017-02,1
2017-03,1
2017-04,1
2017-05,2
2017-06,2
2017-07,2
2017-08,2
2017-09,4
2017-10,5
2017-11,6
2017-12,5
2018-01,9
2018-02,14
2018-03,24
2018-04,50
2018-05,100
2018-06,37
2018-07,20
2018-08,14
2018-09,13
2018-10,14
2018-11,14
2018-12,10
2019-01,11
2019-02,10
2019-03,10
2019-04,10
2019-05,10
2019-06,9
2019-07,11
2019-08,7
2019-09,8
2019-10,9
2019-11,8
2019-12,7
2020-01,8
2020-02,8
2020-03,7
2020-04,7
2020-05,8
2020-06,7
2020-07,7
2020-08,5
2020-09,7
2020-10,6
2020-11,5
2020-12,5
2021-01,6
2021-02,5
2021-03,5
2021-04,6
2021-05,4
2021-06,4
2021-07,4
2021-08,3
2021-09,4
2021-10,5
2021-11,4
2021-12,4
2022-01,5
