Category: All categories

Month,Mark Zuckerberg: (Worldwide)
2014-01,11
2014-02,30
2014-03,16
2014-04,13
2014-05,13
2014-06,10
2014-07,13
2014-08,16
2014-09,11
2014-10,20
2014-11,14
2014-12,11
2015-01,14
2015-02,13
2015-03,12
2015-04,13
2015-05,12
2015-06,11
2015-07,12
2015-08,15
2015-09,21
2015-10,18
2015-11,20
2015-12,66
2016-01,18
2016-02,24
2016-03,15
2016-04,16
2016-05,14
2016-06,16
2016-07,12
2016-08,13
2016-09,17
2016-10,12
2016-11,17
2016-12,15
2017-01,17
2017-02,15
2017-03,14
2017-04,12
2017-05,19
2017-06,14
2017-07,14
2017-08,15
2017-09,14
2017-10,15
2017-11,12
2017-12,12
2018-01,13
2018-02,12
2018-03,26
2018-04,100
2018-05,16
2018-06,11
2018-07,15
2018-08,11
2018-09,11
2018-10,11
2018-11,14
2018-12,12
2019-01,12
2019-02,12
2019-03,14
2019-04,12
2019-05,13
2019-06,12
2019-07,15
2019-08,11
2019-09,11
2019-10,17
2019-11,13
2019-12,13
2020-01,14
2020-02,12
2020-03,11
2020-04,19
2020-05,24
2020-06,19
2020-07,23
2020-08,20
2020-09,15
2020-10,14
2020-11,15
2020-12,14
2021-01,21
2021-02,14
2021-03,11
2021-04,13
2021-05,17
2021-06,12
2021-07,13
2021-08,11
2021-09,11
2021-10,45
2021-11,20
2021-12,14
2022-01,19
