Category: All categories

Month,Facebook security settings: (Worldwide)
2014-01,100
2014-02,73
2014-03,70
2014-04,81
2014-05,61
2014-06,79
2014-07,62
2014-08,79
2014-09,66
2014-10,72
2014-11,67
2014-12,74
2015-01,77
2015-02,63
2015-03,64
2015-04,63
2015-05,62
2015-06,62
2015-07,48
2015-08,65
2015-09,57
2015-10,50
2015-11,50
2015-12,41
2016-01,38
2016-02,25
2016-03,37
2016-04,30
2016-05,38
2016-06,41
2016-07,35
2016-08,40
2016-09,52
2016-10,38
2016-11,40
2016-12,49
2017-01,45
2017-02,38
2017-03,50
2017-04,51
2017-05,41
2017-06,31
2017-07,38
2017-08,35
2017-09,36
2017-10,36
2017-11,33
2017-12,27
2018-01,28
2018-02,34
2018-03,87
2018-04,49
2018-05,28
2018-06,29
2018-07,25
2018-08,25
2018-09,33
2018-10,43
2018-11,23
2018-12,24
2019-01,25
2019-02,22
2019-03,19
2019-04,19
2019-05,25
2019-06,26
2019-07,23
2019-08,23
2019-09,18
2019-10,19
2019-11,25
2019-12,19
2020-01,21
2020-02,22
2020-03,25
2020-04,30
2020-05,32
2020-06,29
2020-07,21
2020-08,24
2020-09,20
2020-10,17
2020-11,15
2020-12,17
2021-01,24
2021-02,21
2021-03,19
2021-04,21
2021-05,20
2021-06,19
2021-07,20
2021-08,20
2021-09,19
2021-10,21
2021-11,17
2021-12,16
2022-01,17
