Category: All categories

Month,Facebook privacy settings: (Worldwide)
2014-01,78
2014-02,77
2014-03,70
2014-04,75
2014-05,80
2014-06,74
2014-07,80
2014-08,83
2014-09,75
2014-10,69
2014-11,69
2014-12,74
2015-01,82
2015-02,59
2015-03,54
2015-04,62
2015-05,63
2015-06,65
2015-07,62
2015-08,61
2015-09,100
2015-10,61
2015-11,51
2015-12,48
2016-01,43
2016-02,45
2016-03,42
2016-04,45
2016-05,43
2016-06,63
2016-07,52
2016-08,44
2016-09,48
2016-10,46
2016-11,42
2016-12,44
2017-01,44
2017-02,45
2017-03,47
2017-04,43
2017-05,44
2017-06,36
2017-07,39
2017-08,41
2017-09,44
2017-10,41
2017-11,36
2017-12,36
2018-01,35
2018-02,41
2018-03,70
2018-04,63
2018-05,41
2018-06,39
2018-07,34
2018-08,34
2018-09,37
2018-10,32
2018-11,30
2018-12,28
2019-01,35
2019-02,30
2019-03,28
2019-04,26
2019-05,27
2019-06,32
2019-07,30
2019-08,31
2019-09,30
2019-10,27
2019-11,28
2019-12,29
2020-01,30
2020-02,28
2020-03,30
2020-04,38
2020-05,37
2020-06,38
2020-07,31
2020-08,29
2020-09,33
2020-10,28
2020-11,26
2020-12,25
2021-01,31
2021-02,28
2021-03,25
2021-04,27
2021-05,31
2021-06,29
2021-07,28
2021-08,27
2021-09,26
2021-10,27
2021-11,27
2021-12,26
2022-01,26
