Category: All categories

Month,delete facebook: (Worldwide)
2014-01,79
2014-02,75
2014-03,75
2014-04,73
2014-05,75
2014-06,77
2014-07,81
2014-08,85
2014-09,77
2014-10,74
2014-11,70
2014-12,72
2015-01,72
2015-02,68
2015-03,69
2015-04,68
2015-05,69
2015-06,73
2015-07,76
2015-08,75
2015-09,69
2015-10,67
2015-11,68
2015-12,67
2016-01,65
2016-02,62
2016-03,59
2016-04,63
2016-05,65
2016-06,70
2016-07,71
2016-08,67
2016-09,68
2016-10,67
2016-11,65
2016-12,69
2017-01,73
2017-02,68
2017-03,67
2017-04,68
2017-05,63
2017-06,69
2017-07,72
2017-08,71
2017-09,65
2017-10,65
2017-11,63
2017-12,64
2018-01,68
2018-02,67
2018-03,100
2018-04,82
2018-05,68
2018-06,66
2018-07,61
2018-08,56
2018-09,65
2018-10,64
2018-11,56
2018-12,57
2019-01,62
2019-02,59
2019-03,53
2019-04,54
2019-05,51
2019-06,54
2019-07,54
2019-08,54
2019-09,49
2019-10,51
2019-11,53
2019-12,49
2020-01,52
2020-02,47
2020-03,51
2020-04,61
2020-05,63
2020-06,66
2020-07,60
2020-08,57
2020-09,53
2020-10,47
2020-11,46
2020-12,47
2021-01,57
2021-02,48
2021-03,43
2021-04,43
2021-05,43
2021-06,42
2021-07,41
2021-08,42
2021-09,38
2021-10,42
2021-11,38
2021-12,37
2022-01,40
