Category: All categories

Month,how to delete facebook: (Worldwide)
2014-01,92
2014-02,89
2014-03,88
2014-04,89
2014-05,84
2014-06,93
2014-07,94
2014-08,100
2014-09,89
2014-10,85
2014-11,79
2014-12,85
2015-01,85
2015-02,83
2015-03,79
2015-04,80
2015-05,82
2015-06,90
2015-07,88
2015-08,87
2015-09,79
2015-10,79
2015-11,78
2015-12,78
2016-01,78
2016-02,69
2016-03,68
2016-04,73
2016-05,78
2016-06,76
2016-07,79
2016-08,73
2016-09,80
2016-10,75
2016-11,77
2016-12,74
2017-01,80
2017-02,79
2017-03,74
2017-04,77
2017-05,72
2017-06,79
2017-07,82
2017-08,80
2017-09,79
2017-10,74
2017-11,71
2017-12,72
2018-01,79
2018-02,79
2018-03,96
2018-04,86
2018-05,71
2018-06,69
2018-07,68
2018-08,63
2018-09,73
2018-10,73
2018-11,64
2018-12,66
2019-01,72
2019-02,71
2019-03,62
2019-04,68
2019-05,63
2019-06,69
2019-07,67
2019-08,68
2019-09,62
2019-10,63
2019-11,68
2019-12,61
2020-01,66
2020-02,60
2020-03,62
2020-04,78
2020-05,80
2020-06,82
2020-07,79
2020-08,71
2020-09,68
2020-10,61
2020-11,59
2020-12,59
2021-01,74
2021-02,60
2021-03,59
2021-04,58
2021-05,58
2021-06,57
2021-07,58
2021-08,55
2021-09,51
2021-10,53
2021-11,48
2021-12,48
2022-01,52
