Category: All categories

Month,Facebook data breach: (Worldwide)
2014-01,1
2014-02,2
2014-03,0
2014-04,1
2014-05,0
2014-06,0
2014-07,2
2014-08,0
2014-09,2
2014-10,1
2014-11,1
2014-12,0
2015-01,0
2015-02,3
2015-03,2
2015-04,1
2015-05,1
2015-06,1
2015-07,1
2015-08,0
2015-09,0
2015-10,2
2015-11,1
2015-12,1
2016-01,0
2016-02,0
2016-03,1
2016-04,0
2016-05,0
2016-06,0
2016-07,0
2016-08,1
2016-09,2
2016-10,1
2016-11,0
2016-12,0
2017-01,0
2017-02,1
2017-03,0
2017-04,1
2017-05,1
2017-06,0
2017-07,1
2017-08,0
2017-09,12
2017-10,3
2017-11,2
2017-12,1
2018-01,2
2018-02,1
2018-03,100
2018-04,84
2018-05,15
2018-06,9
2018-07,9
2018-08,6
2018-09,31
2018-10,46
2018-11,15
2018-12,15
2019-01,10
2019-02,9
2019-03,11
2019-04,13
2019-05,7
2019-06,6
2019-07,25
2019-08,12
2019-09,12
2019-10,10
2019-11,10
2019-12,19
2020-01,9
2020-02,9
2020-03,6
2020-04,10
2020-05,6
2020-06,5
2020-07,5
2020-08,4
2020-09,5
2020-10,5
2020-11,4
2020-12,5
2021-01,5
2021-02,5
2021-03,4
2021-04,70
2021-05,8
2021-06,7
2021-07,5
2021-08,4
2021-09,5
2021-10,15
2021-11,7
2021-12,4
2022-01,6
