Category: All categories

Month,Facebook privacy issues: (Worldwide)
2014-01,19
2014-02,20
2014-03,27
2014-04,21
2014-05,21
2014-06,14
2014-07,15
2014-08,100
2014-09,51
2014-10,34
2014-11,42
2014-12,33
2015-01,72
2015-02,23
2015-03,18
2015-04,18
2015-05,17
2015-06,13
2015-07,9
2015-08,9
2015-09,34
2015-10,16
2015-11,17
2015-12,13
2016-01,11
2016-02,11
2016-03,11
2016-04,11
2016-05,9
2016-06,17
2016-07,12
2016-08,7
2016-09,13
2016-10,16
2016-11,13
2016-12,5
2017-01,9
2017-02,10
2017-03,10
2017-04,12
2017-05,8
2017-06,7
2017-07,7
2017-08,0
2017-09,9
2017-10,8
2017-11,8
2017-12,8
2018-01,5
2018-02,9
2018-03,32
2018-04,72
2018-05,23
2018-06,15
2018-07,10
2018-08,10
2018-09,14
2018-10,16
2018-11,14
2018-12,19
2019-01,24
2019-02,19
2019-03,20
2019-04,17
2019-05,14
2019-06,11
2019-07,15
2019-08,12
2019-09,14
2019-10,13
2019-11,13
2019-12,7
2020-01,7
2020-02,12
2020-03,10
2020-04,17
2020-05,11
2020-06,10
2020-07,7
2020-08,6
2020-09,10
2020-10,9
2020-11,9
2020-12,7
2021-01,11
2021-02,12
2021-03,7
2021-04,10
2021-05,5
2021-06,8
2021-07,5
2021-08,5
2021-09,7
2021-10,9
2021-11,12
2021-12,6
2022-01,9
