Category: All categories

Month,Facebook privacy scandal: (Worldwide)
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,0
2016-04,0
2016-05,0
2016-06,0
2016-07,0
2016-08,0
2016-09,0
2016-10,0
2016-11,0
2016-12,0
2017-01,0
2017-02,0
2017-03,0
2017-04,0
2017-05,0
2017-06,0
2017-07,0
2017-08,0
2017-09,0
2017-10,0
2017-11,0
2017-12,0
2018-01,0
2018-02,0
2018-03,66
2018-04,100
2018-05,33
2018-06,20
2018-07,14
2018-08,12
2018-09,14
2018-10,14
2018-11,14
2018-12,15
2019-01,32
2019-02,16
2019-03,16
2019-04,17
2019-05,16
2019-06,12
2019-07,19
2019-08,16
2019-09,18
2019-10,20
2019-11,18
2019-12,12
2020-01,9
2020-02,15
2020-03,11
2020-04,11
2020-05,11
2020-06,7
2020-07,5
2020-08,6
2020-09,9
2020-10,15
2020-11,8
2020-12,8
2021-01,10
2021-02,7
2021-03,12
2021-04,9
2021-05,6
2021-06,4
2021-07,0
2021-08,0
2021-09,7
2021-10,13
2021-11,9
2021-12,5
2022-01,5
