Category: All categories

Day,deactivate Facebook: (Worldwide)
2018-02-16,45
2018-02-17,44
2018-02-18,55
2018-02-19,51
2018-02-20,44
2018-02-21,42
2018-02-22,37
2018-02-23,34
2018-02-24,46
2018-02-25,45
2018-02-26,41
2018-02-27,40
2018-02-28,41
2018-03-01,35
2018-03-02,37
2018-03-03,43
2018-03-04,47
2018-03-05,42
2018-03-06,37
2018-03-07,36
2018-03-08,38
2018-03-09,38
2018-03-10,43
2018-03-11,45
2018-03-12,43
2018-03-13,37
2018-03-14,34
2018-03-15,33
2018-03-16,42
2018-03-17,43
2018-03-18,44
2018-03-19,42
2018-03-20,56
2018-03-21,58
2018-03-22,55
2018-03-23,49
2018-03-24,61
2018-03-25,61
2018-03-26,55
2018-03-27,60
2018-03-28,56
2018-03-29,52
2018-03-30,56
2018-03-31,54
2018-04-01,56
2018-04-02,56
2018-04-03,41
2018-04-04,47
2018-04-05,47
2018-04-06,47
2018-04-07,56
2018-04-08,55
2018-04-09,51
2018-04-10,55
2018-04-11,52
2018-04-12,47
2018-04-13,51
2018-04-14,52
2018-04-15,51
2018-04-16,49
2018-04-17,47
2018-04-18,44
2018-04-19,45
2018-04-20,50
2018-04-21,66
2018-04-22,65
2018-04-23,55
2018-04-24,55
2018-04-25,53
2018-04-26,50
2018-04-27,49
2018-04-28,60
2018-04-29,61
2018-04-30,48
2018-05-01,56
2018-05-02,47
2018-05-03,46
2018-05-04,48
2018-05-05,51
2018-05-06,63
2018-05-07,53
2018-05-08,51
2018-05-09,53
2018-05-10,50
2018-05-11,53
2018-05-12,53
2018-05-13,56
2018-05-14,55
2018-05-15,50
2018-05-16,48
2018-05-17,46
2018-05-18,48
2018-05-19,53
2018-05-20,66
2018-05-21,55
2018-05-22,55
2018-05-23,51
2018-05-24,53
2018-05-25,53
2018-05-26,62
2018-05-27,66
2018-05-28,60
2018-05-29,62
2018-05-30,58
2018-05-31,66
2018-06-01,64
2018-06-02,76
2018-06-03,82
2018-06-04,71
2018-06-05,68
2018-06-06,70
2018-06-07,80
2018-06-08,89
2018-06-09,96
2018-06-10,100
2018-06-11,82
2018-06-12,84
2018-06-13,83
2018-06-14,73
2018-06-15,72
2018-06-16,85
2018-06-17,95
2018-06-18,83
2018-06-19,83
2018-06-20,84
2018-06-21,85
2018-06-22,82
2018-06-23,91
2018-06-24,97
2018-06-25,87
2018-06-26,76
2018-06-27,74
2018-06-28,82
2018-06-29,72
2018-06-30,79
2018-07-01,89
2018-07-02,80
2018-07-03,72
2018-07-04,73
2018-07-05,79
2018-07-06,70
2018-07-07,81
2018-07-08,87
2018-07-09,84
2018-07-10,73
2018-07-11,73
2018-07-12,80
2018-07-13,76
2018-07-14,81
2018-07-15,92
2018-07-16,76
2018-07-17,82
2018-07-18,79
2018-07-19,79
2018-07-20,78
2018-07-21,81
2018-07-22,95
2018-07-23,83
2018-07-24,71
2018-07-25,68
2018-07-26,60
2018-07-27,57
2018-07-28,53
2018-07-29,58
2018-07-30,55
2018-07-31,51
2018-08-01,48
2018-08-02,50
2018-08-03,49
2018-08-04,56
2018-08-05,62
2018-08-06,56
2018-08-07,50
2018-08-08,44
2018-08-09,54
2018-08-10,54
2018-08-11,58
2018-08-12,52
2018-08-13,55
2018-08-14,46
2018-08-15,44
2018-08-16,46
2018-08-17,44
2018-08-18,47
2018-08-19,54
2018-08-20,53
2018-08-21,46
2018-08-22,44
2018-08-23,47
2018-08-24,47
2018-08-25,47
2018-08-26,51
2018-08-27,49
2018-08-28,44
2018-08-29,51
2018-08-30,43
2018-08-31,50
2018-09-01,52
2018-09-02,63
2018-09-03,64
2018-09-04,59
2018-09-05,49
2018-09-06,52
2018-09-07,53
2018-09-08,57
2018-09-09,63
2018-09-10,56
2018-09-11,50
2018-09-12,45
2018-09-13,44
2018-09-14,51
2018-09-15,54
2018-09-16,55
2018-09-17,57
2018-09-18,59
2018-09-19,53
2018-09-20,51
2018-09-21,53
2018-09-22,61
2018-09-23,63
2018-09-24,56
2018-09-25,55
2018-09-26,54
2018-09-27,54
2018-09-28,66
2018-09-29,67
2018-09-30,64
2018-10-01,58
2018-10-02,58
2018-10-03,55
2018-10-04,52
2018-10-05,57
2018-10-06,68
2018-10-07,81
2018-10-08,66
2018-10-09,56
2018-10-10,56
2018-10-11,53
2018-10-12,52
